date,open,high,low,close,volume
2021-12-03,7233.572,7310.275,7223.796,7301.917,18622273800
2021-12-06,7308.989,7330.469,7235.448,7240.456,21306995200
2021-12-07,7274.126,7284.645,7148.068,7206.826,19224385400
2021-12-08,7225.0,7302.991,7214.259,7302.991,16928045300
2021-12-09,7298.796,7331.584,7290.268,7320.318,19608716800
2021-12-10,7285.974,7317.266,7276.613,7306.646,18723069500
2021-12-13,7334.11,7371.31,7322.438,7353.031,18536306100
2021-12-14,7330.236,7349.878,7314.43,7324.133,15958375300
2021-12-15,7319.664,7352.379,7302.383,7314.259,15992392300
2021-12-16,7323.412,7380.997,7323.412,7380.997,17769034000
2021-12-17,7380.72,7384.018,7308.722,7314.56,19626533600
2021-12-20,7290.949,7313.482,7191.05,7195.973,18172785300
2021-12-21,7190.973,7285.721,7190.973,7275.468,17621674600
2021-12-22,7289.907,7318.605,7271.818,7302.463,17411719000
2021-12-23,7306.159,7349.995,7290.379,7337.19,16913176000
2021-12-24,7336.0,7339.941,7257.527,7278.756,16941870200
2021-12-27,7269.37,7323.876,7255.716,7272.749,14861878900
2021-12-28,7281.004,7290.539,7240.928,7286.034,14326204000
2021-12-29,7275.674,7290.86,7242.302,7247.774,13620955200
2021-12-30,7246.031,7324.498,7244.222,7310.96,14165111100
2021-12-31,7320.936,7368.13,7317.705,7359.402,14990900300
2022-01-04,7387.806,7392.102,7317.501,7354.456,20081001800
2022-01-05,7343.9,7346.262,7200.731,7222.675,19400240400
2022-01-06,7187.95,7242.766,7167.808,7229.96,17333576500
2022-01-07,7232.409,7262.805,7168.04,7175.676,20001801100
2022-01-10,7161.438,7193.922,7122.089,7191.451,16574887800
2022-01-11,7187.016,7206.919,7118.838,7135.223,16949456500
2022-01-12,7160.176,7196.933,7148.628,7196.933,15605148300
2022-01-13,7203.243,7203.243,7096.325,7097.759,16914896800
2022-01-14,7063.423,7125.092,7052.635,7081.141,17559119800
2022-01-17,7080.616,7169.345,7078.663,7157.859,16177971900
2022-01-18,7163.128,7191.005,7133.195,7163.159,17923539100
2022-01-19,7144.477,7182.062,7078.361,7118.762,16317836800
2022-01-20,7119.51,7135.776,7040.014,7056.785,16866628200
2022-01-21,7037.939,7040.425,6965.333,6976.616,14467978900
2022-01-24,6942.918,7006.701,6925.771,6979.246,12267956400
2022-01-25,6959.995,6979.483,6743.957,6743.957,15033724400
2022-01-26,6762.351,6799.813,6721.896,6782.576,12061531000
2022-01-27,6781.608,6785.727,6605.916,6605.916,12524375600
2022-01-28,6690.176,6690.176,6510.181,6580.53,12708881900
2022-02-07,6664.568,6702.332,6656.131,6676.612,14509261900
2022-02-08,6678.989,6742.402,6599.367,6742.192,15959857500
2022-02-09,6736.751,6848.695,6725.798,6843.027,16282272100
2022-02-10,6841.161,6864.686,6797.007,6840.485,15491656500
2022-02-11,6811.78,6840.721,6735.894,6745.024,15980135400
2022-02-14,6711.588,6765.516,6667.49,6695.696,13708245900
2022-02-15,6700.818,6762.859,6686.949,6760.278,11280576000
2022-02-16,6779.208,6788.364,6751.8,6772.034,10841400300
2022-02-17,6764.334,6797.615,6730.18,6768.789,12298508900
2022-02-18,6734.519,6835.203,6727.816,6835.022,13995263800
2022-02-21,6843.084,6871.993,6822.876,6867.113,14514631300
2022-02-22,6827.047,6827.047,6743.849,6784.762,14860991500
2022-02-23,6785.103,6889.696,6785.103,6887.424,14411662000
2022-02-24,6861.412,6898.414,6688.753,6764.876,21084975500
2022-02-25,6805.637,6895.044,6801.327,6819.431,15642913900
2022-02-28,6831.488,6853.343,6770.051,6853.308,13960138800
2022-03-01,6868.622,6889.331,6837.247,6874.045,13771721800
2022-03-02,6853.072,6878.35,6828.063,6875.24,13711497800
2022-03-03,6900.977,6907.409,6843.987,6859.552,18909178100
2022-03-04,6823.835,6871.086,6779.414,6803.834,17741188200
2022-03-07,6800.767,6800.816,6628.483,6659.39,16648459400
2022-03-08,6650.58,6665.947,6416.8,6429.889,18629607900
2022-03-09,6443.202,6462.478,6066.764,6305.609,19780274000
2022-03-10,6424.912,6475.144,6390.725,6414.94,15315235500
2022-03-11,6343.186,6479.721,6270.023,6474.127,15211450300
2022-03-14,6419.239,6490.612,6323.578,6323.578,13795400500
2022-03-15,6272.443,6278.069,5964.981,5964.981,19471374500
2022-03-16,6068.9,6173.788,5824.33,6156.271,17882684700
2022-03-17,6233.644,6369.888,6225.98,6267.524,17043854100
2022-03-18,6249.476,6338.224,6231.726,6332.217,15262021400
2022-03-21,6340.559,6389.21,6284.853,6358.943,15965372300
2022-03-22,6343.4,6404.827,6313.274,6358.109,15110787400
2022-03-23,6368.313,6420.159,6353.336,6398.101,14317935800
2022-03-24,6370.971,6384.405,6315.142,6344.115,13774908600
2022-03-25,6346.711,6373.466,6268.238,6268.238,13497225600
2022-03-28,6230.121,6322.128,6176.248,6283.281,14485788700
2022-03-29,6289.476,6316.313,6233.282,6253.069,14136212400
2022-03-30,6272.002,6377.874,6261.804,6377.874,16401457500
2022-03-31,6361.104,6383.074,6313.966,6324.961,17690394800
2022-04-01,6289.39,6373.26,6274.001,6364.521,17512859600
2022-04-06,6363.002,6363.002,6279.072,6356.927,19685358400
2022-04-07,6321.809,6364.628,6221.591,6221.591,19076219200
2022-04-08,6227.195,6237.915,6117.014,6224.117,18395489200
2022-04-11,6202.023,6202.023,6001.566,6029.894,17838481200
2022-04-12,6019.674,6135.57,5964.389,6126.907,17318018800
2022-04-13,6094.685,6129.659,6039.923,6044.326,16704306000
2022-04-14,6074.134,6156.496,6060.681,6126.49,15903310600
2022-04-15,6094.122,6122.29,6048.16,6070.749,18462700000
2022-04-18,6019.531,6094.671,5975.446,6074.007,14918638000
2022-04-19,6067.48,6106.931,6052.096,6092.396,14199753400
2022-04-20,6082.812,6093.783,5942.005,5956.921,15105560300
2022-04-21,5933.789,5971.194,5742.418,5759.801,15785450500
2022-04-22,5728.193,5794.335,5667.338,5740.984,13999759800
2022-04-25,5656.394,5656.394,5369.717,5369.717,18675348000
2022-04-26,5374.255,5434.704,5225.207,5234.006,17129943300
2022-04-27,5179.031,5440.069,5158.476,5437.037,17969338400
2022-04-28,5398.904,5472.823,5339.609,5418.764,15503977300
